C/A,UNIT,STATION,LINENAME,DIVISION,LATITUDE,LONGITUDE,STREET,CITY,STATE,COUNTY,ZIP
R268,H012,,GL,BMT,40.713875,-73.951592,Union Ave,Brooklyn,NY,Kings County,11211
R268,N409,,GL,IND,40.713875,-73.951592,Union Ave,Brooklyn,NY,Kings County,11211
R256,N408A,,G,IND,40.724608,-73.951271,Manhattan Ave,Brooklyn,NY,Kings County,11222
R144,R251,,6,IRT,40.785822,-73.95097,Lexington Ave,New York,NY,New York County,10128
R277,R635,,25,IRT,40.667879,-73.950648,Nostrand Ave,Brooklyn,NY,Kings County,11225
R209,R636,,25,IRT,40.662752,-73.950605,Nostrand Ave,Brooklyn,NY,Kings County,11225
R061,R623,,3,IRT,40.669735,-73.950455,Nostrand Ave,Brooklyn,NY,Kings County,11225
R273,R178,,1,IRT,40.826426,-73.950412,W 145th St,New York,NY,New York County,10031
R273,R177,,1,IRT,40.826426,-73.950412,W 145th St,New York,NY,New York County,10031
R299,N412,,G,IND,40.7061,-73.950348,Union Ave,Brooklyn,NY,Kings County,11211
R198,N116,,AC,IND,40.68041,-73.950326,Fulton St,Brooklyn,NY,Kings County,11216
R198,N117,,AC,IND,40.68041,-73.950326,Fulton St,Brooklyn,NY,Kings County,11216
