C/A,UNIT,STATION,LINENAME,DIVISION,LATITUDE,LONGITUDE,STREET,CITY,STATE,COUNTY,ZIP
R089,C004,GATES AV,R,BMT,40.692182,-73.985935,Willoughby St,Brooklyn,NY,Kings County,11201
R217,N108,GRAND-30 AV,ACG,IND,40.688465,-73.985474,Schermerhorn St,Brooklyn,NY,Kings County,11201
R393,D009,167 ST,N,BMT,40.617373,-73.985088,20th Ave,Brooklyn,NY,Kings County,11204
R225,R606,RALPH AV,23,IRT,40.690547,-73.985066,Fulton St,Brooklyn,NY,Kings County,11201
R456,R605,STEINWAY ST,23,IRT,40.690545,-73.985065,Fulton St,Brooklyn,NY,Kings County,11201
R021,N503,INWOOD-207 ST,BDFM7,IND,40.754198,-73.984573,6th Ave,New York,NY,New York County,10018
R021,N502,KNICKERBOCKER,BDFM7,IND,40.754198,-73.984573,6th Ave,New York,NY,New York County,10018
R021,N504,BROOK AV,BDFM7,IND,40.754198,-73.984573,6th Ave,New York,NY,New York County,10018
R143,R228,207 ST,6,IRT,40.743095,-73.984251,Park Ave S,New York,NY,New York County,10016
R143,R229,46 ST-BLISS ST,6,IRT,40.743095,-73.984251,Park Ave S,New York,NY,New York County,10016
R143,R230,170 ST,6,IRT,40.743095,-73.984251,Park Ave S,New York,NY,New York County,10016
R081,A015,149 ST-3 AV,NQR,BMT,40.760139,-73.984112,7th Ave,New York,NY,New York County,10019
R081,A013,HOYT ST-ASTORIA,NQR,BMT,40.760139,-73.984112,7th Ave,New York,NY,New York County,10019
R081,A014,HALSEY ST,NQR,BMT,40.760139,-73.984112,7th Ave,New York,NY,New York County,10019
R081,A016,SARATOGA AV,NQR,BMT,40.760139,-73.984112,7th Ave,New York,NY,New York County,10019
R116,R154,215 ST,1,IRT,40.761675,-73.983908,Broadway,New York,NY,New York County,10019
R116,R155,MT EDEN AV,1,IRT,40.761675,-73.983908,Broadway,New York,NY,New York County,10019
R400,E016,CYPRESS AV,D,BMT,40.588879,-73.983629,Stillwell Ave,Brooklyn,NY,Kings County,11223
R231,C010,46 ST,R,BMT,40.677302,-73.983135,4th Ave,Brooklyn,NY,Kings County,11215
R231,C011,176 ST,R,BMT,40.677302,-73.983135,4th Ave,Brooklyn,NY,Kings County,11215
R164,R160A,52 ST-LINCOLN,1,IRT,40.773424,-73.982234,Broadway,New York,NY,New York County,10023
R164,R159,DITMARS BL-31 S,1,IRT,40.773424,-73.982234,Broadway,New York,NY,New York County,10023
R164,R160,ROCKAWAY AV,1,IRT,40.773424,-73.982234,Broadway,New York,NY,New York County,10023
R394,D010,CHAUNCEY ST,N,BMT,40.612006,-73.982009,W 7th St,Brooklyn,NY,Kings County,11204
R394,D011,MARBLE HILL-225,N,BMT,40.612006,-73.982009,W 7th St,Brooklyn,NY,Kings County,11204
R054,R501,JACKSON AV,7BDFM,IRT,40.753824,-73.981966,W 42nd St,New York,NY,New York County,10036
R054,R500,SENECA AV,7BDFM,IRT,40.753824,-73.981966,W 42nd St,New York,NY,New York County,10036
R452,R161B,BURNSIDE AV,123,IRT,40.778575,-73.981912,Broadway,New York,NY,New York County,10023
R452,R161A,E 143 ST,123,IRT,40.778575,-73.981912,Broadway,New York,NY,New York County,10023
R084,N049,NORTHERN BLVD,1ABCD,IND,40.76811,-73.981891,Columbus Cir,New York,NY,New York County,10023
R084,N051,BUSHWICK AV,ABCD1,IND,40.76811,-73.981891,Columbus Cir,New York,NY,New York County,10023
R084,R158,TREMONT AV,1ABCD,IRT,40.76811,-73.981891,Columbus Cir,New York,NY,New York County,10023
R099,C008,231 ST,BDNQR,BMT,40.690612,-73.981848,Flatbush Ave Exn,Brooklyn,NY,Kings County,11201
R176,R231,BROADWAY-ENY,6,IRT,40.746119,-73.981826,E 33rd St,New York,NY,New York County,10016
R176,R231A,E 149 ST,6,IRT,40.746119,-73.981826,E 33rd St,New York,NY,New York County,10016
R176,R232,WILSON AV,6,IRT,40.746119,-73.981826,E 33rd St,New York,NY,New York County,10016
R176,R232A,183 ST,6,IRT,40.746119,-73.981826,E 33rd St,New York,NY,New York County,10016
R248,H007,FOREST AV,L,BMT,40.730901,-73.981719,E 14th St,New York,NY,New York County,10009
R248,H008,61 ST/WOODSIDE,L,BMT,40.730901,-73.981719,E 14th St,New York,NY,New York County,10009
R113,N301,JUNIUS ST,BDE,IND,40.762877,-73.98159,W 53rd St,New York,NY,New York County,10019
R113,N300,ROCKAWAY PKY,BDE,IND,40.762877,-73.98159,W 53rd St,New York,NY,New York County,10019
R020,N500,FORDHAM ROAD,BDFM,IND,40.758652,-73.981311,W 48th St,New York,NY,New York County,10036
R020,N501,238 ST,BDFM,IND,40.758652,-73.981311,W 48th St,New York,NY,New York County,10036
R020,N501A,182-183 ST,BDFM,IND,40.758652,-73.981311,W 48th St,New York,NY,New York County,10036
R151,G001,LIVONIA AV,DFNQ,BMT,40.577423,-73.981225,Stillwell Ave,Brooklyn,NY,Kings County,11224
R151,G009,EAST 105 ST,DFNQ,BMT,40.577423,-73.981225,Stillwell Ave,Brooklyn,NY,Kings County,11224
R395,D012,NEW LOTS AV,N,BMT,40.603967,-73.980668,W 8th St,Brooklyn,NY,Kings County,11223
R080,A010,ALABAMA AV,NQR,BMT,40.764755,-73.980646,7th Ave,New York,NY,New York County,10019
R080,A011,242 ST,NQR,BMT,40.764755,-73.980646,7th Ave,New York,NY,New York County,10019
R056,R608,65 ST,2345,IRT,40.688269,-73.980453,Flatbush Ave,Brooklyn,NY,Kings County,11217
R056,R609,KINGSBRIDGE RD,2345,IRT,40.688269,-73.980453,Flatbush Ave,Brooklyn,NY,Kings County,11217
R288,N539A,INTERVALE-163,FG,IND,40.666276,-73.980324,9th St,Brooklyn,NY,Kings County,11215
R166,R162,LIBERTY AV,1,IRT,40.783872,-73.979938,Broadway,New York,NY,New York County,10024
R166,R163,69 ST-FISK AV,1,IRT,40.783872,-73.979938,Broadway,New York,NY,New York County,10024
R204,N546,LONGWOOD AV,FG,IND,40.644039,-73.979541,Mcdonald Ave,Brooklyn,NY,Kings County,11218
R204,N545,FRESH POND ROAD,FG,IND,40.644039,-73.979541,Mcdonald Ave,Brooklyn,NY,Kings County,11218
R241,N542,PENNSYLVANIA AV,FG,IND,40.660376,-73.979509,16th St,Brooklyn,NY,Kings County,11215
R241,N541,SIMPSON ST,FG,IND,40.660376,-73.979509,16th St,Brooklyn,NY,Kings County,11215
R396,D015,FREEMAN ST,N,BMT,40.597482,-73.979359,W 8th St,Brooklyn,NY,Kings County,11223
R397,D016,VAN SICLEN AV,N,BMT,40.592676,-73.978243,86th St,Brooklyn,NY,Kings County,11223
R420,N548,ROOSEVELT AV,F,IND,40.63615,-73.978179,Mcdonald Ave,Brooklyn,NY,Kings County,11218
R420,N547,74 ST-BROADWAY,F,IND,40.63615,-73.978179,Mcdonald Ave,Brooklyn,NY,Kings County,11218
R302,N600,HUNTS POINT AV,F,IND,40.763625,-73.977449,W 56th St,New York,NY,New York County,10019
R057,B001,BEDFORD PARK BL,2345BDNQR,BMT,40.684063,-73.977417,Atlantic Ave,Brooklyn,NY,Kings County,11217
R057,B002,174 ST,BDNQR2345,BMT,40.684063,-73.977417,Atlantic Ave,Brooklyn,NY,Kings County,11217
R057,C009,WHITLOCK AV,BDNQR2345,BMT,40.684063,-73.977417,Atlantic Ave,Brooklyn,NY,Kings County,11217
R057,R610,CLEVELAND ST,2345BDNQR,IRT,40.684063,-73.977417,Atlantic Ave,Brooklyn,NY,Kings County,11217
R242,N549,MOSHOLU PARKWAY,F,IND,40.629881,-73.977149,Webster Ave,Brooklyn,NY,Kings County,11230
R242,N550,82 ST-JACKSON H,F,IND,40.629881,-73.977149,Webster Ave,Brooklyn,NY,Kings County,11230
R045,R236,ELMHURST AV,4567S,IRT,40.751849,-73.976945,E 42nd St,New York,NY,New York County,10017
R045,R233,SHEPHERD AV,4567S,IRT,40.751849,-73.976945,E 42nd St,New York,NY,New York County,10017
R046,R238,NORWOOD AV,4567S,IRT,40.751849,-73.976945,E 42nd St,New York,NY,New York County,10017
